"Fecha y hora","Noticia","Categoría predicha"
"2025-04-19 20:38:27","Musical treatment for Capra film The classic film It's A Wonderful Life is to be",entertainment
"2025-04-19 20:40:08","Microsoft seeking spyware trojan Microsoft is investigating a trojan program tha",tech
"2025-04-19 14:46:55","Dollar gains on Greenspan speech The dollar has hit its highest level against th",business
"2025-04-19 14:59:05","Japan narrowly escapes recession Japan's economy teetered on the brink of a tech",business
"2025-04-19 14:59:25","Jobs growth still slow in the US The US created fewer jobs than expected in Janu",business
"2025-04-19 15:41:43","'Errors' doomed first Dome sale The initial attempt to sell the Millennium Dome ",sport
"2025-04-19 21:20:20","Wi-fi web reaches farmers in Peru A network of community computer centres, linke",tech
"2025-04-19 21:22:48","Rory McIlroy could go onto win 10 majors now Masters ‘shackles are off,’ say",sport
"2025-04-21 17:24:47","Ink helps drive democracy in Asia The Kyrgyz Republic, a small, mountainous stat",tech
"2025-04-21 18:02:10","Rory McIlroy could go onto win 10 majors now Masters ‘shackles are off,’ say",sport
"2025-04-23 11:12:19","Shannon Sharpe, a Superbowl champion and host of a popular podcast, has been acc",entertainment
"2025-04-23 19:45:11","Williams battles to Aussie title Serena Williams staged a remarkable recovery to",sport
"2025-04-23 19:45:46","Poles play with GameBoy 'blip-pop' A group of artists in Poland has taken the ca",tech
"2025-04-22 20:39:21","Rory McIlroy could go onto win 10 majors now Masters ‘shackles are off,’ say",sport
"2025-04-25 21:27:59","Lib Dems' 'bold' election policy Charles Kennedy has told voters his Liberal Dem",politics
"2025-04-25 21:38:57","Celebrities get to stay in jungle All four contestants still remain in I'm A Cel",entertainment
"2025-04-25 21:41:37","Yahoo celebrates a decade online Yahoo, one of the net's most iconic companies, ",tech
"2025-04-25 21:49:12","Munster Cup tie switched to Spain Munster's Heineken Cup quarter-final tie again",sport
"2025-04-25 22:11:39","Dibaba breaks 5,000m world record Ethiopia's Tirunesh Dibaba set a new world rec",
"2025-04-25 22:12:08","Dibaba breaks 5,000m world record Ethiopia's Tirunesh Dibaba set a new world rec",
"2025-04-25 22:12:16","Hansen 'delays return until 2006' British triple jumper Ashia Hansen has ruled o",
"2025-04-25 22:12:26","EU fraud clampdown urged EU member states are failing to report fraud and irregu",
"2025-04-25 22:13:31","Women MPs reveal sexist taunts Women MPs endure ""shocking"" levels of sexist abus",politics
"2025-04-25 22:14:08","Microsoft plans 'safer ID' system Microsoft is planning to make Windows and Inte",tech
